               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10601,            0.021209,                   0,          0.00097676,            0.019802,          0.00035542,          6.5544e-05,            0.091962,            0.015508,                   0,             0.00133,             0.00133,             0.08803
                   1,            0.081342,            0.017337,                   0,           0.0020984,            0.079208,          0.00093675,          0.00021565,            0.072081,            0.012641,                   0,           0.0026605,           0.0026605,            0.075961
                   2,            0.067112,            0.017573,                   0,            0.011844,            0.029703,           0.0030277,          0.00068908,            0.059518,            0.010807,                   0,           0.0039533,           0.0039533,            0.063853
                   3,            0.058326,            0.015594,                   0,            0.023693,            0.089109,            0.013335,           0.0033894,            0.053764,           0.0097642,                   0,           0.0051809,           0.0051809,            0.051681
                   4,            0.055519,            0.015761,                   0,             0.21791,             0.46535,              0.2306,            0.064526,            0.054285,             0.00819,                   0,           0.0063176,           0.0063176,            0.039418
                   5,            0.053763,            0.013942,                   0,              0.6612,             0.60396,             0.57708,             0.18816,            0.046386,           0.0077284,                   0,           0.0073399,           0.0073399,             0.02704
                   6,            0.052127,            0.012509,                   0,              0.3934,             0.62376,             0.34195,            0.073683,            0.048983,           0.0071162,                   0,           0.0082272,           0.0082272,            0.014527
                   7,            0.049193,            0.012891,                   0,             0.49677,             0.49505,             0.43766,             0.10663,            0.044847,           0.0068045,                   0,           0.0083684,           0.0083684,           0.0083684
                   8,            0.047216,            0.012154,                   0,             0.44907,             0.61386,             0.36279,            0.085336,            0.046637,            0.005907,                   0,           0.0083684,           0.0083684,           0.0083684
                   9,            0.045325,            0.010932,                   0,             0.64563,             0.72156,             0.69984,             0.26096,            0.038931,           0.0063256,                   0,           0.0079112,           0.0079112,           0.0079112
                  10,            0.041109,            0.010352,                   0,              0.8586,             0.72145,             0.80657,             0.32226,             0.03969,           0.0056886,                   0,            0.007416,            0.007416,            0.007416
                  11,            0.040149,            0.011069,                   0,              0.8245,             0.65347,             0.71013,             0.28474,            0.040167,            0.005243,                   0,           0.0068906,           0.0068906,           0.0068906
                  12,            0.038664,           0.0097985,                   0,             0.80226,             0.68288,             0.73781,             0.32134,             0.03623,             0.00517,                   0,           0.0063432,           0.0063432,           0.0063432
                  13,            0.037892,           0.0096378,                   0,              0.8903,             0.81188,             0.87478,              0.3598,              0.0361,           0.0049972,                   0,           0.0057826,           0.0057826,           0.0057826
                  14,            0.035577,            0.009437,                   0,             0.82744,             0.71213,             0.75947,             0.30608,            0.037063,           0.0047278,                   0,           0.0052174,           0.0052174,           0.0052174
                  15,            0.034731,           0.0087897,                   0,              0.9155,             0.75248,             0.86353,             0.37292,            0.034585,           0.0047453,                   0,           0.0046568,           0.0046568,           0.0046568
                  16,             0.03292,            0.008492,                   0,             0.93902,             0.76228,             0.88045,             0.38276,            0.033535,           0.0046324,                   0,           0.0041094,           0.0041094,           0.0041094
                  17,            0.033574,           0.0087129,                   0,             0.91748,             0.77062,             0.87058,              0.3827,            0.032716,           0.0046017,                   0,            0.003584,            0.003584,            0.003584
                  18,            0.031143,           0.0091101,                   0,             0.89766,             0.78163,             0.89789,             0.39092,            0.032842,           0.0044746,                   0,           0.0030888,           0.0030888,           0.0030888
                  19,            0.031179,           0.0086075,                   0,             0.90108,             0.81169,             0.91849,             0.40932,            0.032145,           0.0044144,                   0,           0.0026316,           0.0026316,           0.0026316
                  20,            0.030427,           0.0083043,                   0,             0.84063,             0.88783,             0.91743,             0.42961,            0.032484,           0.0043804,                   0,           0.0022196,           0.0022196,           0.0022196
                  21,            0.028779,           0.0081643,                   0,             0.88993,             0.80198,             0.91113,              0.4208,            0.030967,           0.0043781,                   0,           0.0018594,           0.0018594,           0.0018594
                  22,            0.029774,           0.0079663,                   0,             0.82499,             0.86139,             0.89879,             0.41706,            0.031246,           0.0043466,                   0,           0.0015566,           0.0015566,           0.0015566
                  23,            0.029957,            0.008362,                   0,             0.79303,             0.92079,             0.90868,             0.42818,            0.030785,           0.0043181,                   0,            0.001316,            0.001316,            0.001316
                  24,            0.029144,           0.0084512,                   0,             0.82878,              0.9106,             0.91134,             0.42729,            0.030687,           0.0042724,                   0,           0.0011414,           0.0011414,           0.0011414
